Name,Value,Timestamp,Step
"train__roc_auc","0.694358416134",1608146059455,1
"train__average_precision","0.32023140074286477",1608146059455,1
"train__accuracy","0.7213496218731821",1608146059455,1
"train__precision","0.38480055020632736",1608146059455,1
"train__recall","0.648695652173913",1608146059455,1
"train__f1","0.4830563349881286",1608146059455,1
